coord,red_uniq_rho,red_uniq_p,red_uniq_n,red_cryst_rho,red_cryst_p,red_cryst_n,NRQ_rho,NRQ_p,NRQ_n,CRQ_rho,CRQ_p,CRQ_n,green_rho,green_p,green_n,coloradj_rho,coloradj_p,coloradj_n
I_twist,-0.26792864444462056,0.11967795351788914,35,-0.21890081572957423,0.10504278675471669,56,-0.22341661122810316,0.31757414262874434,22,-0.7999999999999999,0.20000000000000007,4,-0.04288888362338156,0.7698229311987457,49,-0.15054714076841946,0.07476466863867025,141
P_twist,-0.1923590267807532,0.268267926286597,35,-0.40102136298393526,0.0021915880463763506,56,-0.2126699894221944,0.3420029090422311,22,-0.7999999999999999,0.20000000000000007,4,-0.09935924706083393,0.4969835306366249,49,-0.22655387095460539,0.006903785545182623,141
combined,-0.3596216499217434,0.03385039918800861,35,-0.4996842619383944,8.825956169308622e-05,56,-0.2867651187155653,0.19569549948410736,22,-0.7999999999999999,0.20000000000000007,4,-0.08256110097500949,0.5727727687000344,49,-0.2767576573363504,0.0008931102293232848,141
HT_signed,0.12562222157110411,0.4721060978170294,35,-0.053526591831246015,0.6952036863861044,56,0.33314527598317156,0.12976207777162468,22,0.19999999999999998,0.8,4,-0.09261956534858826,0.5267579488758009,49,0.006922741020703671,0.9350664102536066,141
HT_abs,-0.24928159593015978,0.14870470500284141,35,-0.40499390594773854,0.001960329241000379,56,-0.2533940299498486,0.2551874352763631,22,-0.7999999999999999,0.20000000000000007,4,-0.10824337295424868,0.4591042717392264,49,-0.22854035941076278,0.006414947780651743,141
BP_signed,0.20511753365906849,0.23718968145476213,35,0.33037174113629575,0.012890737426645796,56,-0.1012444896451404,0.6539264860467893,22,-0.39999999999999997,0.6,4,0.15935262593877836,0.2740957410746021,49,0.20345023958897313,0.015533479508516905,141
BP_abs,-0.5951633153675636,0.00016248353217767042,35,-0.5609847093970831,6.885820268400563e-06,56,-0.4564486209141246,0.03273567469850679,22,-0.7999999999999999,0.20000000000000007,4,0.058665865813411204,0.6888583084439459,49,-0.25375463476106225,0.002395769067784934,141
