metric,n_untied,n_concordant,frac_observed,null_mean,null_sd,n_perm_ge_obs,n_perm,p_permutation
d_exp_to_planar,886,572,0.6455981941309256,0.5001540743959496,0.051946288308333165,9,5000,0.001999600079984003
b_factor_ratio,886,475,0.536117381489842,0.5004082615125358,0.05190912957664051,1269,5000,0.2539492101579684
n_polar_O2_32,479,258,0.5386221294363257,0.49942056386373496,0.07859256084024706,1573,5000,0.3147370525894821
f_allowed_P_folded,830,533,0.6421686746987951,0.5002353231777079,0.05483962332596038,20,5000,0.004199160167966407
f_allowed_folded,877,567,0.6465222348916762,0.4999001199102617,0.052737489772611834,11,5000,0.0023995200959808036
