model,n,n_params,cv_r2,spearman_rho,spearman_p,rmse
M_color,141,6,0.02912794958201048,0.12813151309571444,0.1299795960908277,0.6135894875454823
M_base,141,8,0.15983060756030631,0.4299247018794126,1.0354868486403613e-07,0.570795235057387
M_full,141,9,0.11214620055210378,0.4413490527913801,4.3020074785396856e-08,0.5867696464825756
M_all5,141,10,0.09886823799338751,0.4335858038395821,7.841891476616973e-08,0.5911409697611474
